year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown,year_and_quarter,state_idx,region_idx,subregion_idx,State_Alabama,State_Arizona,State_Arkansas,State_California,State_Colorado,State_Connecticut,State_Florida,State_Georgia,State_Hawaii,State_Idaho,State_Illinois,State_Indiana,State_Iowa,State_Kansas,State_Kentucky,State_Louisiana,State_Maine,State_Maryland,State_Massachusetts,State_Michigan,State_Minnesota,State_Mississippi,State_Missouri,State_Montana,State_Nebraska,State_New Jersey,State_New Mexico,State_New York,State_North Carolina,State_North Dakota,State_Ohio,State_Oklahoma,State_Oregon,State_Pennsylvania,State_South Carolina,State_South Dakota,State_Tennessee,State_Texas,State_Utah,State_Vermont,State_Virginia,State_Washington,State_West Virginia,State_Wisconsin,State_Wyoming,region_midwest,region_northeast,region_south,region_west,subregion_east north central,subregion_east south central,subregion_mid atlantic,subregion_mountain,subregion_new england,subregion_pacific,subregion_south atlantic,subregion_west north central,subregion_west south central,FinalColonyCount,LogFinalToStart
2015,Q4,3200.0,3200.0,210.0,7.0,40.0,10.5,1.7,0.5,1.1,3.4,2.0,2015-10-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2976.0,-0.07257069283483537
2016,Q1,2700.0,2700.0,270.0,10.0,70.0,12.3,0.8,0.2,,7.7,1.7,2016-01-01,5,3,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2430.0,-0.10536051565782628
2015,Q1,305000.0,315000.0,42000.0,13.0,54000.0,22.3,13.5,0.8,8.9,5.1,4.4,2015-01-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,265350.0,-0.13926206733350766
2015,Q2,210000.0,215000.0,35000.0,16.0,44000.0,44.2,26.4,2.7,17.7,13.6,5.4,2015-04-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,176400.0,-0.1743533871447778
2015,Q3,164000.0,220000.0,36000.0,16.0,37000.0,39.5,21.7,6.7,22.9,21.9,3.4,2015-07-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,137760.0,-0.1743533871447778
2015,Q4,220000.0,260000.0,37000.0,14.0,30000.0,27.3,18.4,2.5,6.8,3.0,4.2,2015-10-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,189200.0,-0.15082288973458366
2016,Q1,245000.0,265000.0,45000.0,17.0,36000.0,21.7,6.3,0.5,5.4,1.9,1.5,2016-01-01,6,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,203350.0,-0.18632957819149348
2015,Q1,104000.0,105000.0,14500.0,14.0,47000.0,6.2,4.9,3.3,2.6,4.8,10.5,2015-01-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,89440.0,-0.15082288973458366
2015,Q2,114000.0,124000.0,23000.0,19.0,25000.0,52.8,17.5,2.9,28.7,11.5,4.1,2015-04-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,92340.0,-0.21072103131565253
2015,Q3,108000.0,110000.0,13000.0,12.0,19500.0,47.6,16.2,3.6,21.2,8.9,3.6,2015-07-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,95040.0,-0.12783337150988489
2015,Q4,110000.0,121000.0,18000.0,15.0,4400.0,43.5,13.9,5.3,4.5,3.7,1.3,2015-10-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,93500.0,-0.16251892949777494
2016,Q1,100000.0,100000.0,20000.0,20.0,28000.0,32.2,7.7,2.1,21.3,3.1,3.9,2016-01-01,7,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,80000.0,-0.2231435513142097
2015,Q1,10500.0,10500.0,380.0,4.0,3400.0,38.8,37.7,1.6,,2.0,,2015-01-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,10080.0,-0.040821994520255166
2015,Q2,13500.0,13500.0,120.0,1.0,1100.0,60.1,61.0,0.3,0.1,3.2,0.1,2015-04-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,13365.0,-0.01005033585350145
2015,Q3,14500.0,14500.0,2700.0,19.0,1200.0,78.1,80.5,0.1,0.1,2.5,,2015-07-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11745.0,-0.21072103131565253
2015,Q4,13000.0,13000.0,690.0,5.0,2700.0,31.0,33.9,0.2,,,,2015-10-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,12350.0,-0.05129329438755058
2016,Q1,15000.0,15000.0,280.0,2.0,570.0,0.3,1.5,,0.1,0.8,,2016-01-01,8,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,14700.0,-0.020202707317519466
2015,Q1,81000.0,88000.0,3700.0,4.0,2600.0,39.8,6.7,12.5,4.8,8.9,4.9,2015-01-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,77760.0,-0.040821994520255166
2015,Q2,62000.0,72000.0,6500.0,9.0,16500.0,25.5,6.7,6.5,6.0,13.7,0.3,2015-04-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,56420.0,-0.09431067947124129
2015,Q3,80000.0,128000.0,14000.0,11.0,5500.0,46.8,5.2,1.7,10.0,2.2,6.4,2015-07-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,71200.0,-0.11653381625595151
2015,Q4,121000.0,145000.0,22000.0,15.0,5500.0,38.9,0.6,4.3,4.0,2.8,4.5,2015-10-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,102850.0,-0.16251892949777494
2016,Q1,90000.0,97000.0,6500.0,7.0,5500.0,31.7,2.3,2.1,5.9,5.5,0.3,2016-01-01,9,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,83700.0,-0.07257069283483537
2015,Q1,6000.0,10500.0,4200.0,40.0,2300.0,12.3,6.9,0.7,0.4,12.6,11.6,2015-01-01,10,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3600.0,-0.5108256237659907
2015,Q2,9500.0,9500.0,1300.0,14.0,6000.0,10.3,3.7,0.2,2.5,2.3,2.4,2015-04-01,10,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,8170.0,-0.15082288973458366
2015,Q3,14000.0,14000.0,1400.0,10.0,1300.0,7.7,3.0,0.6,0.4,3.4,1.0,2015-07-01,10,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,12600.0,-0.10536051565782628
2015,Q4,14000.0,14000.0,690.0,5.0,,9.4,2.5,0.3,0.9,1.0,3.1,2015-10-01,10,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13300.0,-0.05129329438755058
2016,Q1,7000.0,7500.0,1300.0,17.0,470.0,15.0,7.8,0.4,2.9,5.0,10.4,2016-01-01,10,4,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5810.0,-0.18632957819149348
2015,Q1,9000.0,9500.0,2100.0,22.0,490.0,20.7,0.3,0.2,0.3,22.3,11.7,2015-01-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7020.0,-0.2484613592984996
2015,Q2,8000.0,12500.0,1300.0,10.0,4900.0,15.4,1.8,7.0,0.5,4.4,2.0,2015-04-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,7200.0,-0.10536051565782628
2015,Q3,15000.0,15000.0,1600.0,11.0,1400.0,13.7,10.3,4.8,8.2,1.0,6.2,2015-07-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,13350.0,-0.11653381625595151
2015,Q4,11500.0,11500.0,1100.0,10.0,140.0,15.1,0.5,6.3,0.1,0.6,3.7,2015-10-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10350.0,-0.10536051565782628
2016,Q1,6500.0,6500.0,770.0,12.0,40.0,17.4,3.7,0.9,0.3,7.2,5.5,2016-01-01,11,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,5720.0,-0.12783337150988489
2015,Q1,12500.0,17500.0,3100.0,18.0,1700.0,26.0,0.7,4.6,3.4,18.0,3.4,2015-01-01,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,10250.0,-0.19845093872383832
2015,Q2,12500.0,24000.0,1400.0,6.0,6500.0,21.5,5.1,2.9,7.8,2.7,1.9,2015-04-01,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11750.0,-0.06187540371808753
2015,Q3,29000.0,37000.0,3000.0,8.0,640.0,17.4,5.8,0.1,4.7,5.6,3.4,2015-07-01,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,26680.0,-0.08338160893905101
2015,Q4,35000.0,35000.0,4300.0,12.0,40.0,53.4,0.9,0.6,6.4,24.8,1.4,2015-10-01,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,30800.0,-0.12783337150988489
2016,Q1,16500.0,16500.0,3200.0,19.0,90.0,41.6,0.5,,2.1,34.4,12.2,2016-01-01,12,4,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,13365.0,-0.21072103131565253
