,State,year,quarter,Starting colonies,Maximum colonies,Lost colonies,Percent lost,Added colonies,Varroa mites,Other pests,Diseases,Pesticides,Other,Unknown
94,Massachusetts,2015,Q3,7500,7500,560,8,290,16.3,2.9,0.4,2.1,2.5,0.3
95,Massachusetts,2015,Q4,4500,4500,260,6,30,31.4,1.6,6.2,1.9,2.6,1.1
96,Massachusetts,2016,Q1,3000,3000,370,12,120,10.1,5.2,0.7,(Z),3.1,1.1
97,Michigan,2015,Q1,16500,60000,11500,19,7500,14.3,3.1,1.1,1.6,8.3,4.6
98,Michigan,2015,Q2,58000,88000,9500,11,13500,26.9,13.0,0.6,9.1,16.4,3.1
99,Michigan,2015,Q3,89000,89000,7000,8,3300,44.6,16.3,7.3,13.7,1.8,8.8
100,Michigan,2015,Q4,67000,73000,9000,12,210,30.2,4.1,(Z),4.1,3.2,3.7
101,Michigan,2016,Q1,25000,37000,5000,14,2300,5.4,0.2,(Z),0.5,1.2,10.3
102,Minnesota,2015,Q1,28000,74000,3700,5,690,1.4,0.1,(Z),0.1,1.6,2.1
103,Minnesota,2015,Q2,71000,125000,12500,10,20000,25.4,6.2,1.4,16.5,10.1,9.3
104,Minnesota,2015,Q3,133000,136000,32000,24,640,33.3,14.6,7.4,27.4,7.0,7.2
105,Minnesota,2015,Q4,104000,105000,10000,10,600,43.6,8.7,8.4,25.0,3.8,8.9
106,Minnesota,2016,Q1,37000,39000,6000,15,4400,11.8,6.9,0.1,11.3,7.1,14.2
107,Mississippi,2015,Q1,34000,76000,8500,11,22000,9.4,8.2,0.1,2.1,1.2,1.1
108,Mississippi,2015,Q2,89000,89000,11000,12,5500,10.1,6.0,0.3,0.1,2.3,1.7
109,Mississippi,2015,Q3,23000,34000,3500,10,260,45.5,2.2,(Z),1.1,3.8,1.4
110,Mississippi,2015,Q4,31000,34000,1500,4,500,10.6,2.5,0.3,(Z),0.7,1.3
111,Mississippi,2016,Q1,24000,77000,6500,8,11000,8.5,1.1,(Z),2.0,0.2,8.8
112,Missouri,2015,Q1,12000,13000,2000,15,220,13.1,6.0,2.2,4.2,11.8,6.3
113,Missouri,2015,Q2,11500,12500,500,4,1900,5.1,6.2,3.1,1.6,1.0,7.4
114,Missouri,2015,Q3,14000,14000,1200,9,700,11.1,11.7,3.0,2.0,2.1,1.4
115,Missouri,2015,Q4,13500,13500,690,5,30,2.8,6.0,3.3,0.1,0.8,1.5
116,Missouri,2016,Q1,11500,11500,1200,10,930,17.8,6.2,0.3,5.4,4.0,5.4
117,Montana,2015,Q1,8500,36000,2200,6,1400,8.7,0.5,0.6,0.8,2.3,7.9
118,Montana,2015,Q2,36000,210000,4200,2,14000,9.0,0.9,0.8,5.3,1.6,(Z)
119,Montana,2015,Q3,140000,156000,10500,7,3200,52.5,16.4,10.7,2.3,6.4,5.3
120,Montana,2015,Q4,116000,123000,10000,8,1000,35.5,19.8,14.4,11.4,3.2,13.9
121,Montana,2016,Q1,15500,48000,840,2,11500,0.8,(Z),(Z),0.6,0.2,0.1
122,Nebraska,2015,Q1,10000,31000,2600,8,120,5.9,0.1,0.1,0.5,0.3,3.0
123,Nebraska,2015,Q2,29000,68000,4100,6,15500,6.5,6.9,(Z),1.4,2.1,1.5
124,Nebraska,2015,Q3,67000,77000,6000,8,500,33.2,10.3,10.9,13.2,4.6,4.3
125,Nebraska,2015,Q4,72000,73000,7000,10,10,15.5,(Z),0.2,0.3,0.4,1.7
126,Nebraska,2016,Q1,10500,21000,330,2,40,1.7,0.4,0.1,0.2,0.8,0.4
127,New Jersey,2015,Q1,6000,9000,1100,12,570,40.1,13.2,30.4,11.1,19.5,16.7
128,New Jersey,2015,Q2,8500,19000,1800,10,2100,52.5,3.6,0.3,26.1,1.0,2.4
129,New Jersey,2015,Q3,18500,18500,210,1,190,7.2,1.0,0.1,(Z),1.1,0.7
130,New Jersey,2015,Q4,8000,8500,270,3,20,7.7,2.2,(Z),0.4,0.4,1.2
131,New Jersey,2016,Q1,8500,8500,1000,12,80,5.5,0.8,0.2,0.4,1.2,8.2
132,New Mexico,2015,Q1,7000,7000,690,10,190,17.1,0.1,(Z),0.2,1.3,0.4
133,New Mexico,2015,Q2,6500,8500,1000,12,1500,38.8,(Z),15.5,5.9,0.4,2.7
134,New Mexico,2015,Q3,6500,6500,1600,25,1300,61.2,55.0,55.0,58.0,55.5,0.7
135,New Mexico,2015,Q4,6000,6000,290,5,290,30.9,0.3,0.2,8.4,0.6,1.7
136,New Mexico,2016,Q1,6000,6500,1700,26,10,69.0,0.4,31.5,(Z),1.5,0.3
137,New York,2015,Q1,27000,30000,6500,22,430,7.6,2.6,0.5,4.4,12.4,8.3
138,New York,2015,Q2,24000,34000,1100,3,11000,19.1,12.5,4.5,4.4,3.3,1.1
139,New York,2015,Q3,44000,47000,6500,14,4400,40.0,14.3,5.7,17.1,8.8,1.5
140,New York,2015,Q4,45000,45000,4000,9,260,24.5,2.2,0.8,0.9,0.4,6.2
141,New York,2016,Q1,31000,31000,4000,13,140,27.5,5.9,1.5,7.6,9.5,2.6
142,North Carolina,2015,Q1,24000,26000,7000,27,6000,35.5,2.3,0.1,22.9,6.2,12.2
143,North Carolina,2015,Q2,19500,23000,1800,8,5500,51.0,14.3,0.3,3.5,5.8,3.0
144,North Carolina,2015,Q3,24000,24000,2900,12,2500,33.9,27.9,0.7,7.5,5.7,8.5
145,North Carolina,2015,Q4,22000,22000,2200,10,510,9.6,3.4,0.5,0.4,5.4,3.4
146,North Carolina,2016,Q1,18500,24000,2500,10,80,9.6,2.5,1.9,2.7,4.0,2.5
147,North Dakota,2015,Q1,57000,120000,620,1,1800,1.7,1.7,(Z),(Z),2.5,0.1
148,North Dakota,2015,Q2,121000,450000,29000,6,39000,15.5,3.0,0.1,4.3,4.6,0.3
149,North Dakota,2015,Q3,460000,500000,93000,19,11000,33.8,15.5,8.1,12.3,4.1,3.7
150,North Dakota,2015,Q4,230000,275000,35000,13,2700,10.8,2.3,1.8,1.5,3.7,2.1
151,North Dakota,2016,Q1,82000,173000,17000,10,-,(Z),(Z),(Z),(Z),(Z),9.9
152,Ohio,2015,Q1,18000,22000,10500,48,5000,10.7,1.6,1.0,3.0,17.8,3.1
153,Ohio,2015,Q2,17500,19000,2100,11,10000,15.8,4.1,3.0,11.9,11.2,29.0
154,Ohio,2015,Q3,23000,23000,1900,8,2300,30.7,8.0,0.6,23.4,1.6,1.7
155,Ohio,2015,Q4,19000,19000,2400,13,200,36.3,8.8,2.0,7.3,14.5,2.1
156,Ohio,2016,Q1,16000,16000,4200,26,760,41.9,4.4,0.2,1.3,10.2,5.3
157,Oklahoma,2015,Q1,9500,26000,6000,23,2600,14.5,10.1,0.5,(Z),2.1,2.9
158,Oklahoma,2015,Q2,25000,27000,2200,8,5500,66.1,6.3,(Z),0.1,7.0,1.9
159,Oklahoma,2015,Q3,19500,22000,230,1,160,1.6,2.3,0.1,0.1,0.6,0.4
160,Oklahoma,2015,Q4,5000,10000,650,7,290,2.8,4.5,0.1,0.1,1.3,2.5
161,Oklahoma,2016,Q1,6000,6000,2900,48,60,9.7,2.6,0.1,0.6,2.4,41.5
162,Oregon,2015,Q1,77000,87000,6500,8,4300,20.2,2.0,0.4,0.6,1.6,1.1
163,Oregon,2015,Q2,82000,95000,5500,6,14500,39.3,20.9,13.2,16.0,5.8,0.4
164,Oregon,2015,Q3,68000,100000,8500,9,8000,56.0,20.8,5.2,3.1,4.8,3.8
165,Oregon,2015,Q4,100000,114000,8500,8,200,16.4,1.3,1.5,1.5,1.7,1.5
166,Oregon,2016,Q1,70000,92000,2800,3,3800,20.9,15.0,5.3,(Z),2.4,0.3
177,Pennsylvania,2015,Q1,14000,21000,6500,31,360,28.1,6.3,1.9,1.9,17.8,6.3
178,Pennsylvania,2015,Q2,15500,19000,1600,8,8500,11.4,5.8,2.6,1.6,6.7,2.1
179,Pennsylvania,2015,Q3,25000,25000,1800,7,1800,45.1,11.3,3.7,5.1,7.2,0.8
180,Pennsylvania,2015,Q4,22000,23000,2500,11,1300,32.2,4.3,1.0,0.3,0.8,1.0
181,Pennsylvania,2016,Q1,12500,12500,2900,23,220,44.8,4.3,0.3,3.8,5.5,4.6
183,South Carolina,2015,Q1,17000,17500,2700,15,2700,10.5,2.3,0.2,0.3,3.6,2.9
184,South Carolina,2015,Q2,17500,18500,950,5,1100,29.9,5.4,0.5,1.4,3.7,0.7
185,South Carolina,2015,Q3,12000,12000,2000,17,880,58.4,31.0,18.3,14.7,3.9,3.0
186,South Carolina,2015,Q4,10000,17500,2200,13,640,14.2,2.9,0.4,1.7,5.8,(Z)
187,South Carolina,2016,Q1,16500,16500,3400,21,2100,11.0,2.3,0.6,2.1,5.1,4.9
188,South Dakota,2015,Q1,50000,97000,4600,5,8500,1.2,0.9,0.3,0.5,1.2,1.8
189,South Dakota,2015,Q2,100000,290000,21000,7,27000,9.8,11.1,1.8,2.0,1.4,1.5
190,South Dakota,2015,Q3,295000,295000,53000,18,2100,22.0,7.3,2.0,7.1,1.9,5.7
191,South Dakota,2015,Q4,194000,205000,9000,4,2400,16.8,3.0,1.9,7.1,2.4,4.1
192,South Dakota,2016,Q1,30000,91000,770,1,30,0.2,(Z),(Z),(Z),0.4,0.3
197,Tennessee,2015,Q1,9500,9500,2000,21,1000,22.2,17.1,(Z),(Z),13.0,4.4
198,Tennessee,2015,Q2,7500,7500,730,10,3600,47.8,26.3,1.8,9.8,2.6,3.0
199,Tennessee,2015,Q3,10000,10000,1200,12,500,50.8,38.4,0.5,4.8,2.2,1.0
200,Tennessee,2015,Q4,8500,10000,1100,11,70,43.6,28.3,(Z),4.6,7.1,3.6
201,Tennessee,2016,Q1,9000,9000,1700,19,100,19.7,7.1,0.2,3.7,10.1,10.9
202,Texas,2015,Q1,191000,250000,26000,10,82000,21.5,12.2,5.0,11.1,2.3,6.2
203,Texas,2015,Q2,305000,315000,33000,11,76000,19.3,22.9,2.5,6.6,7.4,3.0
204,Texas,2015,Q3,76000,136000,16500,12,5500,30.7,26.0,1.3,19.4,4.7,5.2
205,Texas,2015,Q4,125000,250000,25000,10,13000,20.9,8.7,2.7,5.4,2.2,8.0
206,Texas,2016,Q1,240000,290000,29000,10,73000,21.0,10.6,2.5,10.2,4.0,2.7
212,Utah,2015,Q1,6000,24000,3300,14,2500,13.6,0.9,0.1,4.4,3.0,0.5
213,Utah,2015,Q2,24000,27000,3400,13,10000,27.2,10.8,1.5,12.3,5.6,1.2
214,Utah,2015,Q3,31000,36000,8000,22,1400,40.1,25.0,41.6,33.6,3.6,0.1
215,Utah,2015,Q4,28000,28000,1900,7,120,75.8,9.1,6.4,0.2,4.4,0.4
216,Utah,2016,Q1,12000,12500,1700,14,710,28.8,7.6,0.1,0.4,1.9,0.6
217,Vermont,2015,Q1,5500,5500,700,13,1200,2.3,5.6,(Z),(Z),5.8,4.9
218,Vermont,2015,Q2,6000,6000,100,2,580,3.7,1.9,0.1,(Z),1.3,0.1
219,Vermont,2015,Q3,6000,6500,40,1,30,22.7,0.5,(Z),(Z),0.4,(Z)
220,Vermont,2015,Q4,6500,6500,940,15,10,57.1,16.8,0.9,0.6,0.4,15.6
221,Vermont,2016,Q1,5500,5500,410,8,-,1.3,(Z),0.3,(Z),0.5,1.7
222,Virginia,2015,Q1,8000,9000,2500,28,800,19.0,9.4,2.3,(Z),9.8,11.9
223,Virginia,2015,Q2,7500,7500,270,4,2100,26.2,13.0,1.8,0.2,3.0,4.5
224,Virginia,2015,Q3,8000,8000,680,9,520,29.0,14.2,1.3,3.7,3.5,8.9
225,Virginia,2015,Q4,7500,7500,750,10,-,26.3,17.2,0.4,(Z),5.8,10.4
226,Virginia,2016,Q1,6500,6500,1100,17,500,32.7,7.2,(Z),0.4,5.0,3.8
227,Washington,2015,Q1,52000,105000,14000,13,13500,21.5,0.5,0.3,3.6,6.0,1.1
228,Washington,2015,Q2,105000,127000,5000,4,15000,48.7,0.2,2.2,2.0,3.2,0.5
229,Washington,2015,Q3,84000,97000,11500,12,1800,45.6,3.7,2.3,1.4,3.8,0.3
230,Washington,2015,Q4,87000,89000,6500,7,330,6.9,0.1,0.1,0.3,3.0,1.5
231,Washington,2016,Q1,78000,135000,13000,10,4200,21.6,11.3,1.4,1.7,1.7,5.4
232,West Virginia,2015,Q1,4700,6000,1800,30,570,18.0,7.3,2.2,2.1,14.6,6.1
233,West Virginia,2015,Q2,4700,4700,570,12,2900,15.6,8.3,0.6,2.7,4.6,4.4
234,West Virginia,2015,Q3,7000,7000,300,4,300,21.7,5.3,1.0,1.5,3.0,1.1
235,West Virginia,2015,Q4,7000,7000,610,9,190,18.8,4.5,1.3,3.0,8.2,0.6
236,West Virginia,2016,Q1,6500,7500,1700,23,-,21.9,2.9,1.1,0.6,6.9,6.5
237,Wisconsin,2015,Q1,16500,29000,8000,28,3100,18.8,1.6,2.7,8.5,8.3,5.8
238,Wisconsin,2015,Q2,25000,65000,4600,7,10000,35.3,5.6,1.0,8.2,15.2,2.3
239,Wisconsin,2015,Q3,60000,62000,9000,15,1300,47.3,20.1,8.3,20.9,12.6,13.5
240,Wisconsin,2015,Q4,48000,48000,6500,14,210,49.4,15.6,2.5,21.9,6.6,21.4
241,Wisconsin,2016,Q1,22000,23000,2900,13,530,22.0,1.5,1.0,12.2,8.8,9.4
242,Wyoming,2015,Q1,5500,12000,2000,17,2000,0.9,(Z),(Z),(Z),0.7,(Z)
243,Wyoming,2015,Q2,12000,25000,3200,13,7500,19.1,17.9,0.8,3.6,8.3,2.4
244,Wyoming,2015,Q3,29000,35000,2500,7,270,28.5,11.0,6.4,3.4,2.0,0.4
245,Wyoming,2015,Q4,24000,25000,1300,5,30,45.0,3.3,6.6,10.5,11.3,3.9
246,Wyoming,2016,Q1,2700,5000,340,7,-,(Z),0.5,0.2,3.3,1.0,1.6
2,Alabama,2016,Q1,7500,7500,1700,23,2100,24.2,22.0,4.3,8.1,2.4,11.3
3,Alabama,2016,Q2,8000,8000,930,12,1200,9.6,8.2,0.3,1.7,4.8,5.4
4,Alabama,2016,Q3,8000,8000,1200,15,440,11.7,42.0,(Z),3.8,3.2,13.8
5,Alabama,2016,Q4,7000,7000,610,9,50,12.3,9.9,0.2,2.4,6.7,3.3
6,Alabama,2017,Q1,7000,7000,1600,23,570,15.3,10.9,0.2,3.6,7.5,10.4
7,Alabama,2017,Q2,6500,6500,440,7,1200,17.9,13.6,-,4.2,9.4,5.3
8,Arizona,2016,Q1,30000,30000,4700,16,3500,33.8,2.8,-,7.7,6.5,7.2
9,Arizona,2016,Q2,22000,23000,3700,16,14000,26.8,47.5,17.2,12.0,17.4,3.5
10,Arizona,2016,Q3,30000,32000,6000,19,3200,41.7,1.0,0.9,13.5,13.4,8.9
11,Arizona,2016,Q4,29000,31000,6500,21,4600,98.8,15.5,2.3,6.5,4.3,3.2
12,Arizona,2017,Q1,31000,32000,6000,19,2900,35.6,2.1,3.8,1.7,6.5,2.1
13,Arizona,2017,Q2,22000,22000,2600,12,12500,57.8,15.6,19.4,12.2,20.1,0.7
14,Arkansas,2016,Q1,27000,27000,5000,19,5000,57.4,6.9,(Z),0.5,1.9,8.1
15,Arkansas,2016,Q2,24000,24000,3400,14,12000,84.9,8.5,5.5,0.1,3.4,1.6
16,Arkansas,2016,Q3,32000,32000,1500,5,270,80.7,9.0,0.4,7.9,2.7,0.3
17,Arkansas,2016,Q4,28000,28000,2500,9,20,21.1,4.8,(Z),1.3,1.1,3.3
18,Arkansas,2017,Q1,18000,20000,3500,18,430,23.7,13.8,(Z),0.3,3.6,0.6
19,Arkansas,2017,Q2,17000,17000,1900,11,5000,24.5,12.2,2.4,4.9,3.4,3.1
20,California,2016,Q1,1130000,1410000,200000,14,210000,38.1,15.2,9.0,13.5,8.4,4.4
21,California,2016,Q2,1110000,1150000,108000,9,240000,49.7,14.1,11.2,14.2,15.3,2.6
22,California,2016,Q3,740000,820000,82000,10,33000,42.2,17.8,8.5,18.8,10.4,6.9
23,California,2016,Q4,770000,1330000,205000,15,40000,41.9,13.7,8.0,9.1,9.6,3.5
24,California,2017,Q1,1150000,1440000,172000,12,215000,38.0,12.8,7.6,9.2,6.6,6.3
25,California,2017,Q2,1140000,1180000,82000,7,210000,36.1,7.5,2.9,12.4,4.7,3.0
26,Colorado,2016,Q1,5000,8500,750,9,1700,2.9,4.1,0.5,0.2,2.7,0.2
27,Colorado,2016,Q2,9500,29000,1800,6,9000,38.7,0.8,3.3,1.4,2.6,0.3
28,Colorado,2016,Q3,33000,37000,6500,18,1100,49.3,22.4,16.8,24.6,10.6,0.1
29,Colorado,2016,Q4,30000,30000,4500,15,2500,32.4,1.3,0.1,3.1,13.0,0.1
30,Colorado,2017,Q1,9500,21000,1100,5,100,17.0,(Z),(Z),0.9,2.6,0.4
31,Colorado,2017,Q2,16500,29000,3500,12,5500,31.6,0.9,5.3,3.2,4.7,0.1
32,Connecticut,2016,Q1,2700,2700,270,10,70,12.3,0.8,0.2,-,7.7,1.7
33,Connecticut,2016,Q2,2500,2500,100,4,390,9.3,0.6,0.5,0.3,4.4,1.2
34,Connecticut,2016,Q3,3100,3100,270,9,890,18.8,1.6,-,0.2,5.0,0.8
35,Connecticut,2016,Q4,3100,3100,240,8,-,14.7,6.6,1.1,1.0,5.8,3.2
36,Connecticut,2017,Q1,3100,3100,380,12,100,51.5,1.5,-,-,6.1,5.6
37,Connecticut,2017,Q2,3000,3000,140,5,2200,9.7,0.2,-,0.5,2.0,0.7
38,Florida,2016,Q1,275000,295000,40000,14,49000,23.6,5.8,0.4,4.9,1.8,1.4
39,Florida,2016,Q2,240000,240000,29000,12,43000,48.2,23.3,10.0,11.6,10.1,2.0
40,Florida,2016,Q3,200000,220000,25000,11,62000,45.1,23.4,2.7,9.9,8.5,1.8
41,Florida,2016,Q4,255000,300000,41000,14,31000,30.9,27.1,7.7,17.0,13.6,6.5
42,Florida,2017,Q1,260000,265000,30000,11,80000,37.6,14.8,1.5,14.2,6.2,17.9
43,Florida,2017,Q2,245000,250000,25000,10,40000,36.3,14.3,6.1,9.0,6.4,18.6
44,Georgia,2016,Q1,100000,100000,15500,16,36000,32.3,7.8,2.1,21.4,3.2,3.9
